Id,Predicted
0,97
1,324
2,98
3,356
4,101
5,386
6,108
7,419
8,120
9,446
10,143
11,468
12,165
13,486
14,191
15,501
16,219
17,504
18,247
19,500
20,268
21,483
22,286
23,462
24,303
25,439
26,313
27,411
28,319
29,382
30,320
31,354
32,325
33,327
34,123
35,304
36,137
37,293
38,159
39,289
40,182
41,292
42,203
43,301
44,236
45,301
46,257
47,291
48,278
49,292
50,297
51,294
52,308
53,305
54,222
55,325
56,221
57,342
58,222
59,364
60,226
61,382
62,199
63,396
64,210
65,400
66,223
67,404
68,236
69,400
70,245
71,394
72,148
73,329
74,161
75,320
76,176
77,321
78,188
79,328
80,176
81,333
82,161
83,334
84,248
85,331
86,260
87,318
88,276
89,320
90,288
91,327
92,278
93,332
94,264
95,333
96,176
97,430
98,193
99,425
100,211
101,424
102,221
103,424
104,233
105,421
106,249
107,423
108,262
109,430
110,251
111,443
112,234
113,455
114,222
115,453
116,210
117,454
118,192
119,447
120,183
121,432
122,211
123,433
124,223
125,434
126,234
127,431
128,256
129,430
130,233
131,440
132,222
133,440
134,211
135,437
136,507
137,526
138,506
139,541
140,508
141,558
142,511
143,573
144,516
145,587
146,526
147,599
148,538
149,608
150,552
151,618
152,565
153,620
154,578
155,617
156,590
157,608
158,603
159,599
160,610
161,587
162,616
163,573
164,619
165,558
166,621
167,543
168,622
169,527
170,520
171,514
172,527
173,510
174,536
175,507
176,547
177,509
178,557
179,513
180,575
181,513
182,586
183,508
184,595
185,508
186,606
187,510
188,613
189,517
190,567
191,525
192,566
193,534
194,567
195,546
196,566
197,556
198,554
199,562
200,560
201,564
202,566
203,566
204,573
205,564
206,577
207,563
208,531
209,527
210,537
211,523
212,543
213,522
214,552
215,528
216,544
217,530
218,536
219,530
220,582
221,528
222,589
223,523
224,595
225,524
226,601
227,528
228,595
229,528
230,587
231,530
232,543
233,580
234,552
235,578
236,560
237,575
238,566
239,578
240,572
241,576
242,580
243,577
244,587
245,581
246,580
247,588
248,572
249,592
250,565
251,592
252,559
253,592
254,551
255,588
256,546
257,581
258,560
259,581
260,565
261,580
262,571
263,581
264,585
265,582
266,572
267,585
268,565
269,585
270,559
271,584
272,146
273,105
274,147
275,117
276,148
277,130
278,150
279,143
280,154
281,154
282,162
283,165
284,171
285,174
286,181
287,182
288,194
289,183
290,205
291,182
292,214
293,174
294,226
295,166
296,233
297,157
298,236
299,145
300,240
301,134
302,242
303,120
304,242
305,108
306,157
307,96
308,163
309,91
310,172
311,89
312,181
313,92
314,189
315,95
316,205
317,95
318,213
319,93
320,221
321,91
322,230
323,93
324,235
325,99
326,196
327,106
328,195
329,114
330,196
331,123
332,196
333,131
334,184
335,136
336,190
337,139
338,195
